ExitType,PnL,Date
EXIT,0.0012250022764346237,2025-09-02 19:00:00+00:00
EXIT,0.0012250022764346237,2025-09-02 19:00:00+00:00
EXIT,0.0009623531166731418,2025-09-02 19:30:00+00:00
TAKE,0.02000000000000003,2025-09-02 20:00:00+00:00
EXIT,-0.0020103845151667635,2025-09-02 22:45:00+00:00
EXIT,0.0008050506334477257,2025-09-03 08:30:00+00:00
EXIT,-0.0005080440304825408,2025-09-03 09:00:00+00:00
EXIT,0.0009318874957641429,2025-09-03 09:15:00+00:00
STOP,-0.01999999999999998,2025-09-03 12:00:00+00:00
STOP,-0.01999999999999998,2025-09-03 12:00:00+00:00
EXIT,-0.011361686762659376,2025-09-03 13:30:00+00:00
EXIT,-0.011361686762659376,2025-09-03 13:30:00+00:00
EXIT,-0.011361686762659376,2025-09-03 13:30:00+00:00
EXIT,0.005114074823318089,2025-09-03 13:45:00+00:00
EXIT,0.005114074823318089,2025-09-03 13:45:00+00:00
EXIT,0.0007214623155903208,2025-09-03 14:00:00+00:00
EXIT,0.004453316893688991,2025-09-03 14:15:00+00:00
EXIT,-0.002603353704007409,2025-09-03 15:45:00+00:00
EXIT,0.0028436745775207812,2025-09-03 16:00:00+00:00
EXIT,-0.0009849132444485962,2025-09-03 18:45:00+00:00
EXIT,-0.0009849132444485962,2025-09-03 18:45:00+00:00
EXIT,0.0,2025-09-03 23:00:00+00:00
EXIT,0.0,2025-09-03 23:00:00+00:00
EXIT,0.0006298054703583983,2025-09-03 23:15:00+00:00
EXIT,-0.0005039475894507162,2025-09-03 23:30:00+00:00
EXIT,-0.0007547802750753875,2025-09-04 08:00:00+00:00
EXIT,-0.0014735836504618724,2025-09-04 16:15:00+00:00
EXIT,0.0006718608700821326,2025-09-04 18:00:00+00:00
EXIT,0.0019849031955785044,2025-09-04 18:45:00+00:00
EXIT,-0.0004836656463473764,2025-09-04 19:15:00+00:00
EXIT,-0.00020885547201341423,2025-09-04 22:15:00+00:00
EXIT,-0.0005846976277981388,2025-09-04 22:30:00+00:00
EXIT,0.00021312160468026626,2025-09-04 23:00:00+00:00
EXIT,0.0007471792728792119,2025-09-04 23:15:00+00:00
EXIT,-0.00029239766081868494,2025-09-04 23:30:00+00:00
EXIT,-0.0007106153653339633,2025-09-04 23:45:00+00:00
EXIT,-0.00025052192066806796,2025-09-05 08:00:00+00:00
EXIT,-4.176411627126172e-05,2025-09-05 08:15:00+00:00
EXIT,-4.176411627126172e-05,2025-09-05 08:15:00+00:00
EXIT,8.353172117103875e-05,2025-09-05 08:30:00+00:00
EXIT,-0.0002924831822171128,2025-09-05 11:30:00+00:00
EXIT,0.002097666481898129,2025-09-05 12:30:00+00:00
EXIT,-0.0010031577561717489,2025-09-05 14:30:00+00:00
EXIT,-0.00435508634686056,2025-09-05 15:45:00+00:00
EXIT,0.0003765694624128153,2025-09-05 16:00:00+00:00
EXIT,-0.0012548753192236698,2025-09-05 16:15:00+00:00
EXIT,0.0026422026743971897,2025-09-05 16:30:00+00:00
EXIT,0.000735707290190421,2025-09-05 18:45:00+00:00
EXIT,-4.179553623669191e-05,2025-09-05 23:00:00+00:00
EXIT,-0.0005015673981191412,2025-09-05 23:15:00+00:00
EXIT,0.0004173458643031607,2025-09-05 23:30:00+00:00
EXIT,0.0005437055625261206,2025-09-05 23:45:00+00:00
EXIT,-0.002363058353826467,2025-09-08 17:00:00+00:00
EXIT,-0.00027442243739689835,2025-09-08 19:00:00+00:00
EXIT,-0.0003360215053763966,2025-09-08 23:15:00+00:00
EXIT,-0.0001567292743393256,2025-09-08 23:30:00+00:00
EXIT,8.404067568707552e-05,2025-09-08 23:45:00+00:00
EXIT,-0.0016740835647142767,2025-09-09 15:00:00+00:00
EXIT,0.001539410381933303,2025-09-09 16:00:00+00:00
EXIT,-0.0002118324554600769,2025-09-09 16:15:00+00:00
EXIT,0.0005559594577256787,2025-09-09 20:30:00+00:00
EXIT,-0.00021399529210362238,2025-09-09 23:00:00+00:00
EXIT,0.00012856224555389388,2025-09-10 09:15:00+00:00
EXIT,0.0014139423282917543,2025-09-10 09:30:00+00:00
EXIT,-0.012089183275801302,2025-09-10 13:30:00+00:00
EXIT,-0.012089183275801302,2025-09-10 13:30:00+00:00
EXIT,0.0014160768288081313,2025-09-10 13:45:00+00:00
EXIT,-0.001274709080475601,2025-09-10 14:00:00+00:00
EXIT,-0.004938072574830067,2025-09-10 14:15:00+00:00
EXIT,-0.001315168344023048,2025-09-10 14:30:00+00:00
EXIT,-0.003227296432895889,2025-09-10 16:30:00+00:00
EXIT,-3.500210113574414e-06,2025-09-10 17:45:00+00:00
EXIT,-0.002688530177586104,2025-09-10 19:00:00+00:00
EXIT,-0.0007916263523617154,2025-09-10 23:00:00+00:00
EXIT,-0.00022008010915978418,2025-09-10 23:15:00+00:00
EXIT,-4.7105499148736365e-05,2025-09-10 23:30:00+00:00
